FID	IID	SUPERPOP	AFR	EAS	AMR	EUR
0	HG02521	EAS	7.4e-07	0.99999777	7.4e-07	7.4e-07
0	HG02522	EAS	7.4e-07	0.99999777	7.4e-07	7.4e-07
0	HG02536	AFR	0.81310534	0.0174516	0.09996662	0.06947644
0	HG02537	AFR	0.95082778	0.0106462	0.01709574	0.02143028
0	HG02541	AFR	0.82803173	0.01762728	0.0805634	0.07377758
0	HG02545	AFR	0.9258208	0.01397362	0.03592926	0.02427632
0	HG02546	AFR	0.93134258	0.01809352	0.02237088	0.02819301
0	HG02549	AFR	0.9666417	0.0065238	0.01474033	0.01209417
0	HG02554	AFR	0.8943354	0.01225541	0.05369794	0.03971125
0	HG02555	AFR	0.89387396	0.01641006	0.04799024	0.04172574
0	HG02557	AFR	0.94047253	0.01292789	0.02102605	0.02557353
0	HG02558	AFR	0.90256396	0.01958618	0.03190616	0.0459437
0	HG02561	AFR	0.9674202	0.00998902	0.01551628	0.0070745
0	HG02562	AFR	0.9829499	0.01704861	7.4e-07	7.4e-07
0	HG02568	AFR	0.97733009	0.00926626	0.00872992	0.00467373
0	HG02570	AFR	0.9942881	0.00571041	7.4e-07	7.4e-07
0	HG02571	AFR	0.99364868	0.00634983	7.5e-07	7.5e-07
0	HG02573	AFR	0.97325953	0.01251865	0.00996025	0.00426158
0	HG02574	AFR	0.96073212	0.0022094	0.02705429	0.01000418
0	HG02577	AFR	0.80458491	0.01264668	0.09731369	0.08545472
0	HG02580	AFR	0.8641039	0.02120276	0.05834886	0.05634448
0	HG02582	AFR	0.98634668	0.00481388	0.00523949	0.00359995
0	HG02583	AFR	0.99531594	0.00468257	7.4e-07	7.4e-07
0	HG02585	AFR	0.99207128	0.00792722	7.5e-07	7.5e-07
0	HG02586	AFR	0.98844858	0.00892517	0.00160261	0.00102364
0	HG02588	AFR	0.98730806	0.00981622	0.00107553	0.00180018
0	HG02589	AFR	0.98160423	0.01139033	0.00454667	0.00245877
0	HG02594	AFR	0.9764415	0.01263217	0.0063948	0.00453153
0	HG02595	AFR	0.98469306	0.00789734	0.00417973	0.00322987
0	HG02610	AFR	0.98857061	0.00640914	0.00413769	0.00088256
0	HG02611	AFR	0.98908958	0.01090893	7.5e-07	7.5e-07
0	HG02613	AFR	0.96452482	0.00927852	0.01371208	0.01248459
0	HG02614	AFR	0.95019509	0.0086532	0.0236092	0.01754251
0	HG02620	AFR	0.98084221	0.01521993	0.00202983	0.00190803
0	HG02621	AFR	0.99554963	0.00444888	7.4e-07	7.4e-07
0	HG02623	AFR	0.99130811	0.0086904	7.4e-07	7.5e-07
0	HG02624	AFR	0.99814422	0.00185429	7.4e-07	7.5e-07
0	HG02628	AFR	0.99516506	0.00483344	7.5e-07	7.5e-07
0	HG02629	AFR	0.99460489	0.00539363	7.4e-07	7.4e-07
0	HG02634	AFR	0.9731499	0.00721179	0.01619275	0.00344557
0	HG02635	AFR	0.98258411	0.00792935	0.00568052	0.00380602
0	HG02642	AFR	0.98563866	0.01435985	7.4e-07	7.5e-07
0	HG02643	AFR	0.98388583	0.00939864	0.00417541	0.00254012
0	HG02645	AFR	0.98616248	0.00979802	0.0024498	0.0015897
0	HG02646	AFR	0.99149042	0.00850809	7.4e-07	7.4e-07
0	HG02666	AFR	0.99463877	0.00535974	7.5e-07	7.5e-07
0	HG02667	AFR	0.97326905	0.01967616	0.00468595	0.00236884
0	HG02675	AFR	0.98564225	0.01435627	7.4e-07	7.4e-07
0	HG02676	AFR	0.96802081	0.010941	0.01367526	0.00736293
0	HG02678	AFR	0.97702437	0.00737326	0.00891924	0.00668313
0	HG02679	AFR	0.99304762	0.00682603	7.4e-07	0.00012561
0	HG02702	AFR	0.96563914	0.01861931	0.00916017	0.00658137
0	HG02703	AFR	0.98902882	0.01096969	7.5e-07	7.5e-07
0	HG02715	AFR	0.99021419	0.00826354	0.00118638	0.00033589
0	HG02716	AFR	0.99539168	0.00460683	7.4e-07	7.4e-07
0	HG02721	AFR	0.97675463	0.01802475	0.00255725	0.00266337
0	HG02722	AFR	0.99023445	0.00976406	7.5e-07	7.5e-07
0	HG02756	AFR	0.99567738	0.00432113	7.4e-07	7.4e-07
0	HG02757	AFR	0.9932286	0.00660917	0.00016149	7.4e-07
0	HG02759	AFR	0.98815896	0.01183955	7.5e-07	7.5e-07
0	HG02760	AFR	0.97880586	0.02119265	7.4e-07	7.4e-07
0	HG02763	AFR	0.98860081	0.00474877	0.00253712	0.00411331
